Energy (keV_ee),Sigma_x (pixels),Front Surface Probability,Bulk Probability,Back Surface Probability
2.40905,0.132882,0.659161,0.340839,0
4.26885,0.9779,0,0.111219,0.888781
2.13882,0.795849,0,1,0
1.65678,0.90449,0,0.339216,0.660784
5.60661,0.7954,0,1,0
0.905058,0.934737,0,0.233355,0.766645
2.82713,0.0375087,0.918194,0.0818063,0
3.69797,0.874607,0,1,0
0.54248,0.89901,0,0.205589,0.794411
0.249867,0.428754,0.0196331,0.9658,0.0145669
2.55193,0.79416,0,1,0
3.62334,0.302449,0.0436908,0.956309,0
3.94008,0.302733,0.0344159,0.965584,0
0.509597,0.214877,0.286657,0.713343,0
2.04864,0.0257221,0.885516,0.114484,0
4.28651,0.84499,0,1,0
4.21009,0.479268,0,1,0
2.80697,0.569715,0,1,0
0.103365,0.793143,0,0.213239,0.786761
5.05298,0.73621,0,1,0
4.96679,1.03135,0,0.0229479,0.977052
1.55751,0.938516,0,0.241005,0.758995
4.65775,0.58086,0,1,0
3.26631,0.764939,0,1,0
2.74022,0.89938,0,0.887659,0.112341
4.16528,0.949931,0,0.474308,0.525692
1.73149,0.200468,0.578601,0.421399,0
1.76154,0.955907,0,0.10182,0.89818
1.8665,0.0874464,0.903047,0.0969534,0
4.25452,0.813346,0,1,0
5.24815,0.146118,0.643335,0.356665,0
3.64145,0.975997,0,0.0879932,0.912007
3.7915,0.0643175,0.898638,0.101362,0
1.42363,0.972819,0,0.0952401,0.90476
2.81883,1.03555,0,0.0425158,0.957484
4.01504,0.966008,0,0.19784,0.80216
2.30733,0.0753267,0.892621,0.107379,0
1.71436,0.338094,0.128767,0.871233,0
1.09642,1.00703,0,0.0743618,0.925638
5.99767,0.993468,0,0.131562,0.868438
5.49396,0.75184,0,1,0
5.2079,0.564993,0,1,0
1.54823,0.760312,0,1,0
5.60529,0.0404135,0.931664,0.0683356,0
1.43913,0.0425634,0.890264,0.109736,0
4.77581,0.995607,0,0.154881,0.845119
3.95837,0.957293,0,0.220939,0.779061
1.77076,0.933491,0,0.178854,0.821146
1.33103,0.809266,0,0.988395,0.0116052
1.7307,0.924292,0,0.251174,0.748826
3.293,0.4275,0,1,0
0.514509,0.142583,0.766248,0.233752,0
2.92893,0.860359,0,0.993657,0.00634311
4.76603,0.197781,0.35452,0.64548,0
0.864287,0.511781,0,1,0
0.130757,0.676604,0,0.287922,0.712078
3.05125,0.776776,0,1,0
2.17574,0.0999346,0.862483,0.137517,0
5.71522,0.766645,0,1,0
0.610633,1.06959,0,0.0787367,0.921263
4.16408,0.973953,0,0.195247,0.804753
5.23066,0.132597,0.643335,0.356665,0
5.85012,0.82399,0,1,0
2.84331,0.196736,0.310068,0.689932,0
5.39398,0.966598,0,0.376198,0.623802
0.44636,1.0469,0,0.0660919,0.933908
0.155798,0.729861,0,0.296303,0.703697
2.85608,0.968852,0,0.140469,0.859531
0.166765,0.448504,0.00244634,0.90245,0.0951032
1.32031,0.761884,0,1,0
2.35522,0.302156,0.0557751,0.944225,0
0.221645,0.251676,0.149223,0.850777,0
2.98333,0.913028,0,0.612946,0.387054
1.46418,0.713157,0,1,0
1.30498,0.112122,0.83011,0.16989,0
4.05802,0.902684,0,0.888821,0.111179
1.73643,0.0241859,0.973639,0.026361,0
0.850838,1.02303,0,0.364538,0.635462
1.01052,0.941388,0,0.142405,0.857595
3.03296,0.134256,0.697282,0.302718,0
0.454699,1.00399,0,0.0707029,0.929297
1.37536,0.544405,0,1,0
