Energy (keV_ee),Sigma_x (pixels),Front Surface Probability,Bulk Probability,Back Surface Probability
2.0533,0.678588,0,1,0
4.06446,0.760791,0,1,0
2.71662,0.626946,0,1,0
2.73187,0.885776,0,0.887659,0.112341
5.1841,0.812141,0,1,0
4.17051,0.134855,0.565451,0.434549,0
0.578055,1.04747,0,0.0937551,0.906245
0.731393,0.910936,0,0.206925,0.793075
1.0143,0.205183,0.222975,0.777025,0
0.849517,0.650334,0,1,0
0.791737,0.163452,0.423111,0.576889,0
1.44915,0.799287,0,0.994456,0.00554353
0.253033,0.977258,0,0.0975454,0.902455
3.80695,0.937689,0,0.534314,0.465686
1.29375,0.0144325,0.873879,0.126121,0
1.36712,0.044429,0.902022,0.0979779,0
5.94588,0.970246,0,0.317464,0.682536
0.74278,0.0417845,0.878695,0.121305,0
3.89326,0.886765,0,0.989643,0.0103567
1.23003,0.920384,0,0.269608,0.730392
2.15867,0.625366,0,1,0
5.94477,0.746478,0,1,0
4.01538,0.96829,0,0.19784,0.80216
0.166914,0.757281,0,0.311066,0.688934
2.96083,0.490018,0,1,0
2.7438,0.951836,0,0.150885,0.849115
5.93904,0.683807,0,1,0
0.367862,0.89003,0,0.207002,0.792998
2.08601,0.245041,0.132749,0.867251,0
0.761514,0.0468259,0.800528,0.199472,0
0.604563,0.894919,0,0.233604,0.766396
4.85349,0.985346,0,0.140903,0.859097
3.63791,0.947449,0,0.427079,0.572921
4.15612,0.954206,0,0.195247,0.804753
3.08506,0.731758,0,1,0
0.196769,0.931832,0,0.128241,0.871759
4.71412,0.510181,0,1,0
4.55961,0.482532,0,1,0
0.342979,0.471112,0.00566732,0.994333,0
1.99069,0.197687,0.246563,0.753437,0
5.26558,0.357962,0,1,0
0.553624,0.805108,0,0.463021,0.536979
0.0769098,0.172934,0.334849,0.584381,0.0807697
0.224855,0.820853,0,0.227717,0.772283
4.03134,0.0426505,0.883377,0.116623,0
4.36813,0.0986007,0.833055,0.166945,0
0.374715,0.757875,0,0.464448,0.535552
0.754016,1.05508,0,0.0811786,0.918821
0.0611621,0.296966,0.08121,0.749406,0.169384
2.98717,0.0100387,0.890279,0.109721,0
1.87497,0.928392,0,0.272939,0.727061
1.40124,0.914318,0,0.303802,0.696198
5.01695,0.940792,0,0.732196,0.267804
0.193955,1.15992,0,0.0596446,0.940355
2.81635,0.568746,0,1,0
0.610809,0.851335,0,0.260644,0.739356
0.835638,0.99339,0,0.396126,0.603874
5.42352,0.468576,0,1,0
4.11437,0.0236494,0.86846,0.13154,0
2.62755,0.593332,0,1,0
4.66971,0.938888,0,0.576628,0.423372
0.0796779,0.22554,0.0483995,0.707297,0.244303
4.64041,0.960523,0,0.30863,0.69137
3.69331,0.0640467,0.895787,0.104213,0
3.32037,0.0762464,0.821746,0.178254,0
4.23515,0.882712,0,0.997146,0.0028541
1.28906,0.915638,0,0.274529,0.725471
0.639629,0.925349,0,0.166435,0.833565
3.79506,0.16663,0.402759,0.597241,0
5.19227,0.998492,0,0.106923,0.893077
