2.123566444718722190e-01	2.373566444718722135e-01	5.888042185216121143e+05
2.288463472681456501e-01	2.538463472681456445e-01	2.285811932386316184e+05
2.453360500644191089e-01	2.703360500644191311e-01	1.302764889289363928e+05
2.618257528606925399e-01	2.868257528606925622e-01	9.716691838018487033e+04
2.783154556569659710e-01	3.033154556569659932e-01	7.566276431243904517e+04
2.948051584532394020e-01	3.198051584532394243e-01	6.371601205258024129e+04
3.112948612495128331e-01	3.362948612495128553e-01	5.142792401386833808e+04
3.277845640457862642e-01	3.527845640457862864e-01	3.709182130203778070e+04
3.442742668420597507e-01	3.692742668420597729e-01	3.527136381482120487e+04
3.607639696383331263e-01	3.857639696383331485e-01	2.798953386595489064e+04
3.772536724346066683e-01	4.022536724346066905e-01	2.514506904217898773e+04
3.937433752308800994e-01	4.187433752308801216e-01	2.059392532413754452e+04
4.102330780271535304e-01	4.352330780271535526e-01	2.002503235938236321e+04
4.267227808234269615e-01	4.517227808234269837e-01	1.615656019904713321e+04
4.432124836197003925e-01	4.682124836197004147e-01	1.513255286248780794e+04
4.597021864159738791e-01	4.847021864159739013e-01	1.331209537527122848e+04
4.761918892122472546e-01	5.011918892122472213e-01	9.784958993789108717e+03
4.926815920085207412e-01	5.176815920085207079e-01	9.784958993789108717e+03
5.091712948047940612e-01	5.341712948047940834e-01	9.216066029033927407e+03
5.256609976010676588e-01	5.506609976010676810e-01	9.216066029033927407e+03
5.421507003973410344e-01	5.671507003973410566e-01	7.736944320670458183e+03
5.586404031936145209e-01	5.836404031936145431e-01	7.623165727719421739e+03
5.751301059898880075e-01	6.001301059898880297e-01	7.054272762964241338e+03
5.916198087861613830e-01	6.166198087861614052e-01	7.509387134768386204e+03
6.081095115824348696e-01	6.331095115824348918e-01	6.030265426404916070e+03
6.245992143787082451e-01	6.495992143787082673e-01	7.054272762964241338e+03
6.410889171749817317e-01	6.660889171749817539e-01	5.575151054600771204e+03
6.575786199712551072e-01	6.825786199712551294e-01	6.940494170013204894e+03
6.740683227675285938e-01	6.990683227675286160e-01	5.802708240502843182e+03
6.905580255638020803e-01	7.155580255638021026e-01	5.575151054600771204e+03
7.070477283600754559e-01	7.320477283600754781e-01	6.030265426404916070e+03
7.235374311563489425e-01	7.485374311563489647e-01	6.485379798209060027e+03
