0.2	0.4	275800.0
0.4	0.6	101400.0
0.6	0.8	51800.0
0.8	1.0	26000.0
1.0	1.2	19000.0
1.2	1.4	14600.0
1.4	1.6	8200.0
1.6	1.8	7800.0
1.8	2.0	5400.0
2.0	2.2	3600.0
2.2	2.4	4000.0
2.4	2.6	4800.0
2.6	2.8	2200.0
2.8	3.0	2400.0
3.0	3.2	2600.0
3.2	3.4	2800.0
3.4	3.6	1400.0
3.6	3.8	1600.0
3.8	4.0	1600.0
4.0	4.2	600.0
4.2	4.4	200.0
4.4	4.6	1400.0
4.6	4.8	1400.0
4.8	5.0	1200.0
5.0	5.2	1400.0
5.2	5.4	800.0
5.4	5.6	400.0
5.6	5.8	1000.0
5.8	6.0	1000.0
6.0	6.2	600.0
6.2	6.4	1000.0
6.4	6.6	1200.0
6.6	6.8	600.0
6.8	7.0	400.0
7.0	7.2	200.0
7.2	7.4	600.0
7.4	7.6	200.0
7.6	7.8	400.0
7.8	8.0	1000.0
8.0	8.2	400.0
8.2	8.4	200.0
8.4	8.6	1000.0
8.6	8.8	600.0
8.8	9.0	200.0
9.0	9.2	1000.0
9.2	9.4	400.0
9.4	9.6	600.0
9.6	9.8	200.0
9.8	10.0	1000.0
10.0	10.2	400.0
10.2	10.4	0.0
10.4	10.6	800.0
10.6	10.8	400.0
10.8	11.0	600.0
11.0	11.2	200.0
11.2	11.4	200.0
11.4	11.6	800.0
11.6	11.8	200.0
11.8	12.0	0.0
12.0	12.2	1000.0
12.2	12.4	200.0
12.4	12.6	600.0
12.6	12.8	400.0
12.8	13.0	400.0
13.0	13.2	400.0
13.2	13.4	600.0
13.4	13.6	400.0
13.6	13.8	200.0
13.8	14.0	400.0
14.0	14.2	0.0
14.2	14.4	1000.0
14.4	14.6	400.0
14.6	14.8	400.0
14.8	15.0	200.0
15.0	15.2	600.0
15.2	15.4	200.0
